Location,Year,0-24,25-34,35-44,45-54,55+,Total
Delaware,2015,12,43,29,33,16,133
District of Columbia,2015,N/A,N/A,10,35,45,98
Florida,2015,160,475,442,384,376,1838
Georgia,2015,94,252,189,171,152,858
Hawaii,2015,N/A,N/A,12,10,28,62
Idaho,2015,11,17,28,22,12,90
Illinois,2015,156,332,324,315,254,1381
Indiana,2015,69,172,117,106,71,535
Iowa,2015,16,34,44,41,35,170
Kansas,2015,N/A,N/A,N/A,N/A,N/A,150
Kentucky,2015,58,231,248,229,119,885
Louisiana,2015,23,75,78,57,54,287
Maine,2015,17,68,58,60,35,238
Maryland,2015,87,267,238,286,209,1087
Massachusetts,2015,154,494,384,344,174,1550
Michigan,2015,123,343,285,305,253,1309
Minnesota,2015,34,87,73,71,73,338
Mississippi,2015,N/A,48,35,38,24,150
Missouri,2015,84,176,151,150,131,692
Montana,2015,N/A,10,13,14,N/A,48
Nebraska,2015,N/A,N/A,N/A,N/A,N/A,55
Nevada,2015,34,81,75,96,133,419
New Hampshire,2015,41,129,99,73,38,380
New Jersey,2015,105,251,178,210,118,862
New Mexico,2015,32,82,84,89,64,351
New York,2015,245,593,447,512,368,2166
North Carolina,2015,109,288,278,313,183,1171
North Dakota,2015,N/A,10,N/A,N/A,N/A,34
Ohio,2015,241,783,711,569,394,2698
Oklahoma,2015,26,86,93,114,108,427
Oregon,2015,23,71,66,77,94,331
Pennsylvania,2015,168,438,301,265,190,1362
Rhode Island,2015,23,72,46,55,58,254
South Carolina,2015,33,131,118,141,131,554
South Dakota,2015,N/A,N/A,N/A,N/A,N/A,27
Tennessee,2015,71,205,260,297,205,1038
Texas,2015,169,329,235,275,279,1287
Utah,2015,39,113,112,82,102,448
Vermont,2015,N/A,N/A,N/A,N/A,N/A,79
Virginia,2015,91,230,213,171,115,820
Washington,2015,53,158,122,177,182,692
West Virginia,2015,42,125,178,171,113,629
Wisconsin,2015,52,172,136,150,112,622
Wyoming,2015,N/A,11,11,N/A,12,46
Alabama,2016,37,99,98,58,51,343
Alaska,2016,13,27,22,17,15,94
Arizona,2016,108,199,147,145,170,769
Arkansas,2016,13,36,43,40,37,169
California,2016,212,412,331,389,668,2012
Colorado,2016,67,143,123,103,100,536
Connecticut,2016,60,225,195,218,157,855
Delaware,2016,13,54,30,37,20,154
District of Columbia,2016,N/A,N/A,N/A,N/A,N/A,209
Florida,2016,246,815,716,541,479,2798
Georgia,2016,80,243,195,207,193,918
Hawaii,2016,12,10,15,10,30,77
Idaho,2016,10,29,29,24,27,119
Illinois,2016,183,511,462,442,349,1947
Indiana,2016,69,257,186,168,114,794
Iowa,2016,24,43,39,47,30,183
Kansas,2016,14,29,32,29,42,146
Kentucky,2016,76,219,307,243,144,989
Louisiana,2016,35,89,92,75,55,346
Maine,2016,25,88,84,69,35,301
Maryland,2016,141,463,374,480,363,1821
Massachusetts,2016,165,629,498,412,286,1990
Michigan,2016,153,495,407,381,326,1762
Minnesota,2016,61,110,87,78,60,396
Mississippi,2016,13,44,40,41,42,180
Missouri,2016,116,266,227,171,134,914
Montana,2016,N/A,12,N/A,N/A,11,42
Nebraska,2016,N/A,16,10,N/A,10,44
Nevada,2016,39,74,71,98,126,408
New Hampshire,2016,55,151,107,79,45,437
New Jersey,2016,157,429,292,328,203,1409
New Mexico,2016,38,91,77,67,76,349
New York,2016,319,863,622,665,538,3009
North Carolina,2016,151,451,375,319,209,1506
North Dakota,2016,N/A,13,13,11,N/A,54
Ohio,2016,320,1073,915,750,555,3613
Oklahoma,2016,31,88,106,100,119,444
Oregon,2016,38,66,66,67,75,312
Pennsylvania,2016,245,752,511,427,300,2235
Rhode Island,2016,22,77,55,78,47,279
South Carolina,2016,58,139,153,159,119,628
South Dakota,2016,N/A,14,N/A,N/A,10,42
Tennessee,2016,88,288,279,297,234,1186
Texas,2016,198,330,259,286,302,1375
Utah,2016,41,120,130,91,84,466
Vermont,2016,N/A,N/A,N/A,N/A,N/A,101
Virginia,2016,119,341,273,225,172,1130
Washington,2016,61,153,143,149,203,709
West Virginia,2016,47,181,218,176,111,733
Wisconsin,2016,101,237,212,168,148,866
Wyoming,2016,N/A,N/A,13,N/A,13,50
Alabama,2017,31,122,101,96,72,422
Alaska,2017,N/A,N/A,N/A,N/A,N/A,102
Arizona,2017,118,221,185,176,228,928
Arkansas,2017,20,53,38,39,38,188
California,2017,208,536,380,402,671,2199
Colorado,2017,57,173,130,93,124,578
Connecticut,2017,90,261,230,210,164,955
Delaware,2017,25,65,63,59,38,250
District of Columbia,2017,N/A,N/A,N/A,N/A,N/A,244
Florida,2017,217,947,840,653,587,3245
Georgia,2017,100,279,232,222,181,1014
Hawaii,2017,N/A,N/A,N/A,N/A,27,53
Idaho,2017,N/A,N/A,N/A,N/A,N/A,103
Illinois,2017,181,561,485,533,442,2202
Indiana,2017,115,367,306,228,160,1176
Iowa,2017,28,41,41,57,39,206
Kansas,2017,17,21,31,35,40,144
Kentucky,2017,76,303,353,278,150,1160
Louisiana,2017,26,112,119,93,65,415
Maine,2017,23,115,96,79,46,360
Maryland,2017,142,534,417,471,421,1985
Massachusetts,2017,132,587,466,432,296,1913
Michigan,2017,162,572,455,432,412,2033
Minnesota,2017,57,110,84,99,72,422
Mississippi,2017,12,44,44,47,38,185
Missouri,2017,104,279,256,162,151,952
Montana,2017,N/A,11,N/A,N/A,12,38
Nebraska,2017,N/A,N/A,N/A,N/A,N/A,59
Nevada,2017,39,73,74,103,123,412
New Hampshire,2017,40,147,95,94,48,424
New Jersey,2017,193,541,419,480,334,1969
New Mexico,2017,26,93,76,69,68,332
New York,2017,270,907,702,738,606,3224
North Carolina,2017,215,589,479,413,257,1953
North Dakota,2017,N/A,10,N/A,N/A,N/A,35
Ohio,2017,336,1263,1136,894,664,4293
Oklahoma,2017,25,73,93,100,97,388
Oregon,2017,40,76,71,60,97,344
Pennsylvania,2017,272,819,636,463,353,2548
Rhode Island,2017,16,73,70,68,50,277
South Carolina,2017,64,193,174,180,138,749
South Dakota,2017,N/A,10,N/A,N/A,11,35
Tennessee,2017,105,303,307,306,248,1269
Texas,2017,175,387,301,288,307,1458
Utah,2017,43,117,109,80,107,456
Vermont,2017,15,37,28,16,18,114
Virginia,2017,103,366,308,269,195,1241
Washington,2017,68,190,128,168,188,742
West Virginia,2017,51,212,240,187,143,833
Wisconsin,2017,91,281,223,175,156,926
Wyoming,2017,N/A,N/A,12,15,N/A,47
Alabama,2018,27,95,115,72,72,381
Alaska,2018,N/A,14,12,15,21,68
Arizona,2018,185,283,232,179,227,1106
Arkansas,2018,23,48,55,48,34,208
California,2018,226,610,432,456,686,2410
Colorado,2018,60,159,112,96,137,564
Connecticut,2018,68,220,244,230,186,948
Delaware,2018,16,102,103,69,65,355
District of Columbia,2018,N/A,16,27,44,101,191
Florida,2018,187,898,840,653,611,3189
Georgia,2018,68,220,230,165,183,866
Hawaii,2018,N/A,11,14,14,18,59
Idaho,2018,11,39,22,21,27,120
Illinois,2018,172,531,505,497,462,2169
Indiana,2018,103,328,295,197,181,1104
Iowa,2018,17,49,31,21,25,143
Kansas,2018,13,38,40,32,33,156
Kentucky,2018,72,273,271,215,158,989
Louisiana,2018,27,125,130,85,77,444
Maine,2018,12,80,85,64,41,282
Maryland,2018,119,511,448,488,521,2087
Massachusetts,2018,113,630,517,414,317,1991
Michigan,2018,129,533,472,434,443,2011
Minnesota,2018,42,108,64,71,58,343
Mississippi,2018,N/A,41,43,45,36,173
Missouri,2018,133,329,300,186,184,1132
Montana,2018,N/A,14,16,N/A,18,64
Nebraska,2018,N/A,17,15,N/A,17,63
Nevada,2018,16,79,64,84,129,372
New Hampshire,2018,31,133,109,91,48,412
New Jersey,2018,197,739,641,568,437,2583
New Mexico,2018,35,75,76,67,85,338
New York,2018,221,829,636,671,631,2991
North Carolina,2018,167,541,466,351,257,1783
North Dakota,2018,N/A,12,14,N/A,N/A,36
Ohio,2018,232,951,915,610,529,3237
Oklahoma,2018,25,80,58,56,89,308
Oregon,2018,20,81,90,59,89,339
Pennsylvania,2018,218,873,749,550,473,2866
Rhode Island,2018,17,61,78,48,63,267
South Carolina,2018,77,206,208,175,168,835
South Dakota,2018,N/A,N/A,N/A,N/A,N/A,28
Tennessee,2018,97,352,330,299,229,1307
Texas,2018,149,358,300,270,325,1402
Utah,2018,45,100,100,94,98,437
Vermont,2018,N/A,44,33,28,15,127
Virginia,2018,90,342,325,240,196,1193
Washington,2018,71,182,147,139,198,737
West Virginia,2018,48,193,194,154,113,702
Wisconsin,2018,56,268,199,168,155,846
Wyoming,2018,N/A,10,N/A,N/A,15,40
Alabama,2012,18,45,44,42,16,165
Alaska,2012,13,25,14,17,12,81
Arizona,2012,61,107,107,140,111,526
Arkansas,2012,25,37,40,38,29,169
California,2012,170,313,290,471,475,1719
Colorado,2012,44,99,89,97,78,407
Connecticut,2012,25,50,49,52,24,201
Delaware,2012,11,21,16,23,11,82
District of Columbia,2012,N/A,N/A,13,18,11,44
Florida,2012,87,275,280,397,287,1326
Georgia,2012,50,123,131,146,86,536
Hawaii,2012,N/A,N/A,N/A,N/A,N/A,62
Idaho,2012,N/A,N/A,N/A,N/A,N/A,59
Illinois,2012,160,309,241,302,138,1151
Indiana,2012,57,97,89,83,49,375
Iowa,2012,14,31,45,52,29,171
Kansas,2012,22,39,42,44,24,171
Kentucky,2012,55,151,157,212,98,673
Louisiana,2012,22,51,34,32,30,169
Maine,2012,N/A,N/A,N/A,N/A,N/A,100
Maryland,2012,76,157,132,194,98,657
Massachusetts,2012,53,192,169,192,85,691
Michigan,2012,77,184,126,192,106,685
Minnesota,2012,44,70,49,69,58,290
Mississippi,2012,N/A,N/A,N/A,N/A,N/A,111
Missouri,2012,49,147,131,134,78,539
Montana,2012,N/A,13,N/A,18,N/A,51
Nebraska,2012,N/A,12,13,12,N/A,53
Nevada,2012,38,71,82,136,119,446
New Hampshire,2012,14,37,34,35,13,133
New Jersey,2012,80,146,142,166,68,602
New Mexico,2012,30,69,84,71,65,319
New York,2012,174,363,307,414,272,1530
North Carolina,2012,92,172,198,240,131,833
North Dakota,2012,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,2012,125,350,339,373,168,1355
Oklahoma,2012,48,107,107,161,108,531
Oregon,2012,34,73,76,107,71,361
Pennsylvania,2012,105,261,172,193,96,827
Rhode Island,2012,10,29,30,44,27,140
South Carolina,2012,28,54,55,54,46,237
South Dakota,2012,N/A,10,N/A,N/A,N/A,24
Tennessee,2012,51,158,195,203,116,723
Texas,2012,169,268,233,269,192,1131
Utah,2012,42,107,89,118,66,422
Vermont,2012,N/A,N/A,N/A,N/A,N/A,55
Virginia,2012,54,132,142,150,55,533
Washington,2012,67,125,126,206,171,695
West Virginia,2012,18,110,153,131,56,468
Wisconsin,2012,44,131,107,115,86,483
Wyoming,2012,N/A,N/A,N/A,13,10,45
Alabama,2011,23,40,37,56,20,176
Alaska,2011,N/A,N/A,N/A,N/A,N/A,66
Arizona,2011,77,123,106,138,118,562
Arkansas,2011,21,46,46,41,15,169
California,2011,208,331,348,580,471,1938
Colorado,2011,58,92,95,98,75,418
Connecticut,2011,34,53,47,51,24,209
Delaware,2011,15,33,18,33,14,113
District of Columbia,2011,N/A,N/A,N/A,19,17,51
Florida,2011,121,393,338,460,264,1576
Georgia,2011,70,121,132,148,64,535
Hawaii,2011,N/A,N/A,16,24,24,77
Idaho,2011,11,15,18,19,14,77
Illinois,2011,127,263,199,213,105,907
Indiana,2011,39,97,80,94,46,356
Iowa,2011,21,38,41,46,26,172
Kansas,2011,11,29,28,31,19,118
Kentucky,2011,48,155,201,192,73,669
Louisiana,2011,N/A,N/A,N/A,N/A,N/A,116
Maine,2011,N/A,N/A,N/A,N/A,N/A,85
Maryland,2011,68,138,103,165,72,546
Massachusetts,2011,69,181,155,165,84,655
Michigan,2011,83,174,168,192,97,714
Minnesota,2011,34,53,61,78,60,286
Mississippi,2011,N/A,17,28,24,N/A,79
Missouri,2011,74,156,140,156,69,595
Montana,2011,N/A,N/A,N/A,N/A,N/A,63
Nebraska,2011,N/A,16,N/A,16,10,53
Nevada,2011,57,86,87,127,104,461
New Hampshire,2011,17,34,34,42,27,154
New Jersey,2011,72,103,98,121,59,454
New Mexico,2011,32,53,51,57,50,243
New York,2011,173,315,278,387,203,1356
North Carolina,2011,92,195,194,233,107,822
North Dakota,2011,N/A,N/A,N/A,N/A,N/A,10
Ohio,2011,111,293,288,408,172,1272
Oklahoma,2011,54,98,95,159,77,483
Oregon,2011,38,80,98,96,80,392
Pennsylvania,2011,106,222,157,180,87,752
Rhode Island,2011,N/A,N/A,N/A,N/A,N/A,142
South Carolina,2011,30,56,58,67,32,243
South Dakota,2011,N/A,N/A,10,N/A,N/A,34
Tennessee,2011,48,141,171,188,85,633
Texas,2011,217,274,229,278,179,1178
Utah,2011,59,94,88,89,51,381
Vermont,2011,N/A,10,16,13,N/A,55
Virginia,2011,72,136,152,152,63,575
Washington,2011,60,132,158,194,153,697
West Virginia,2011,33,138,163,157,59,550
Wisconsin,2011,64,127,90,120,72,473
Wyoming,2011,N/A,N/A,10,N/A,11,43
Alabama,2010,24,61,43,44,15,187
Alaska,2010,N/A,12,17,20,N/A,62
Arizona,2010,86,138,116,168,118,626
Arkansas,2010,30,53,47,35,24,189
California,2010,201,304,349,573,502,1929
Colorado,2010,38,64,65,90,47,304
Connecticut,2010,25,38,63,76,21,223
Delaware,2010,N/A,N/A,N/A,N/A,N/A,103
District of Columbia,2010,N/A,N/A,10,14,N/A,34
Florida,2010,171,409,369,452,273,1674
Georgia,2010,74,107,126,148,79,534
Hawaii,2010,N/A,N/A,N/A,N/A,N/A,74
Idaho,2010,N/A,N/A,N/A,N/A,N/A,79
Illinois,2010,126,219,214,217,91,867
Indiana,2010,42,88,54,77,28,289
Iowa,2010,15,28,39,51,14,147
Kansas,2010,15,18,24,36,11,104
Kentucky,2010,51,149,179,158,54,591
Louisiana,2010,16,31,32,31,13,123
Maine,2010,N/A,N/A,N/A,N/A,N/A,90
Maryland,2010,62,120,119,156,52,509
Massachusetts,2010,56,143,137,136,77,549
Michigan,2010,85,154,139,206,111,695
Minnesota,2010,29,54,50,67,35,235
Mississippi,2010,N/A,N/A,N/A,N/A,N/A,100
Missouri,2010,83,168,137,145,65,599
Montana,2010,N/A,16,18,10,N/A,54
Nebraska,2010,N/A,N/A,21,14,N/A,58
Nevada,2010,46,71,95,123,104,439
New Hampshire,2010,N/A,N/A,N/A,N/A,N/A,116
New Jersey,2010,58,71,94,102,48,373
New Mexico,2010,29,51,38,44,29,191
New York,2010,127,199,244,332,172,1074
North Carolina,2010,79,172,180,237,108,776
North Dakota,2010,N/A,N/A,N/A,N/A,N/A,18
Ohio,2010,113,264,275,320,152,1124
Oklahoma,2010,47,109,122,142,90,510
Oregon,2010,32,71,69,93,67,332
Pennsylvania,2010,102,164,138,151,74,629
Rhode Island,2010,N/A,N/A,N/A,N/A,N/A,111
South Carolina,2010,27,60,56,91,37,271
South Dakota,2010,N/A,N/A,12,N/A,N/A,32
Tennessee,2010,62,141,149,201,80,633
Texas,2010,186,236,223,298,180,1123
Utah,2010,59,95,73,74,35,336
Vermont,2010,N/A,N/A,N/A,N/A,N/A,43
Virginia,2010,44,99,100,110,36,389
Washington,2010,62,106,118,207,135,628
West Virginia,2010,43,110,131,114,53,451
Wisconsin,2010,41,93,93,123,65,415
Wyoming,2010,N/A,11,13,14,N/A,47
